transaction_id,product_id,time_id,store_id,qty,unit_price,line_total
1,32,1,5,2,3.0,6.0
2,57,2,5,2,3.1,6.2
3,59,3,5,2,4.5,9.0
4,22,4,5,1,2.0,2.0
5,57,5,5,2,3.1,6.2
6,77,5,5,1,3.0,3.0
7,22,6,5,1,2.0,2.0
8,28,7,5,2,2.0,4.0
9,39,8,5,1,4.25,4.25
10,58,9,5,2,3.5,7.0
11,56,10,5,1,2.55,2.55
12,33,11,5,2,3.5,7.0
13,51,12,5,1,3.0,3.0
14,57,13,5,1,3.1,3.1
15,87,14,5,2,3.0,6.0
16,47,15,5,2,3.0,6.0
17,79,15,5,1,3.75,3.75
18,42,16,8,1,2.5,2.5
19,59,17,8,2,4.5,9.0
20,61,18,8,1,4.75,4.75
21,33,19,8,2,3.5,7.0
22,56,20,5,2,2.55,5.1
23,69,20,5,1,3.25,3.25
24,56,21,8,1,2.55,2.55
25,40,22,8,1,3.75,3.75
26,43,23,5,1,3.0,3.0
27,76,23,5,1,3.5,3.5
28,45,24,5,2,3.0,6.0
29,71,24,5,1,3.75,3.75
30,40,25,8,2,3.75,7.5
31,38,26,8,1,3.75,3.75
32,26,27,5,1,3.0,3.0
33,27,28,5,2,3.5,7.0
34,29,29,5,2,2.5,5.0
35,54,30,8,1,2.5,2.5
36,26,31,5,1,3.0,3.0
37,55,32,5,1,4.0,4.0
38,40,33,8,2,3.75,7.5
39,45,34,8,1,3.0,3.0
40,45,35,8,2,3.0,6.0
41,24,36,8,1,3.0,3.0
42,60,37,5,2,3.75,7.5
43,78,37,5,1,4.5,4.5
44,56,38,5,1,2.55,2.55
45,77,38,5,1,3.0,3.0
46,44,39,5,1,2.5,2.5
47,56,40,5,2,2.55,5.1
48,48,41,5,1,2.5,2.5
49,23,42,8,1,2.5,2.5
50,46,43,8,1,2.5,2.5
51,32,44,8,1,3.0,3.0
52,47,45,5,2,3.0,6.0
53,43,46,5,2,3.0,6.0
54,25,47,5,2,2.2,4.4
55,59,48,8,1,4.5,4.5
56,38,49,5,1,3.75,3.75
57,45,50,8,1,3.0,3.0
58,34,51,5,1,2.45,2.45
59,36,52,8,2,3.75,7.5
60,74,52,8,1,3.5,3.5
61,53,53,8,1,3.0,3.0
62,41,54,8,2,4.25,8.5
63,41,55,5,1,4.25,4.25
64,45,56,5,2,3.0,6.0
65,79,56,5,1,3.75,3.75
66,54,57,5,2,2.5,5.0
67,24,58,5,1,3.0,3.0
68,37,59,5,2,3.0,6.0
69,40,60,8,2,3.75,7.5
70,37,61,5,2,3.0,6.0
71,69,61,5,1,3.25,3.25
72,50,62,5,1,2.5,2.5
73,47,63,8,1,3.0,3.0
74,40,64,8,2,3.75,7.5
75,72,64,8,1,3.25,3.25
76,35,65,8,1,3.1,3.1
77,23,66,5,1,2.5,2.5
78,43,67,5,2,3.0,6.0
79,22,68,8,1,2.0,2.0
80,32,69,8,2,3.0,6.0
81,36,70,8,2,3.75,7.5
82,26,71,5,1,3.0,3.0
83,71,71,5,1,3.75,3.75
84,32,72,5,2,3.0,6.0
85,54,73,8,1,2.5,2.5
86,41,74,8,2,4.25,8.5
87,25,75,5,2,2.2,4.4
88,23,76,5,2,2.5,5.0
89,54,77,8,1,2.5,2.5
90,56,78,8,2,2.55,5.1
91,58,79,5,2,3.5,7.0
92,74,79,5,1,3.5,3.5
93,47,80,8,2,3.0,6.0
94,35,81,5,1,3.1,3.1
95,70,81,5,1,3.25,3.25
96,60,82,8,1,3.75,3.75
97,59,83,5,1,4.5,4.5
98,36,84,5,2,3.75,7.5
99,51,85,8,2,3.0,6.0
100,61,86,5,2,4.75,9.5
101,47,87,5,1,3.0,3.0
102,23,88,8,2,2.5,5.0
103,73,88,8,1,3.75,3.75
104,38,89,5,1,3.75,3.75
105,76,89,5,1,3.5,3.5
106,22,90,3,1,2.0,2.0
107,38,91,3,1,3.75,3.75
108,75,91,3,1,3.5,3.5
109,47,92,5,2,3.0,6.0
110,75,92,5,1,3.5,3.5
111,39,93,8,2,4.25,8.5
112,59,94,3,1,4.5,4.5
113,51,95,8,2,3.0,6.0
114,59,96,3,1,4.5,4.5
115,47,97,3,1,3.0,3.0
116,79,97,3,1,3.75,3.75
117,46,98,3,1,2.5,2.5
118,43,99,3,1,3.0,3.0
119,45,100,3,2,3.0,6.0
120,54,101,8,2,2.5,5.0
121,51,102,5,2,3.0,6.0
122,60,103,3,1,3.75,3.75
123,31,104,8,1,2.2,2.2
124,60,105,5,2,3.75,7.5
125,77,105,5,1,3.0,3.0
126,49,106,3,2,3.0,6.0
127,40,107,5,2,3.75,7.5
128,44,108,8,2,2.5,5.0
129,33,109,3,2,3.5,7.0
130,56,110,5,2,2.55,5.1
131,35,111,8,2,3.1,6.2
132,78,111,8,1,4.5,4.5
133,23,112,8,1,2.5,2.5
134,24,113,8,1,3.0,3.0
135,51,114,5,2,3.0,6.0
136,72,114,5,1,3.25,3.25
137,54,115,5,2,2.5,5.0
138,75,115,5,1,3.5,3.5
139,60,116,5,1,3.75,3.75
140,71,116,5,1,3.75,3.75
141,52,117,3,2,2.5,5.0
142,25,118,3,2,2.2,4.4
143,38,119,5,1,3.75,3.75
144,30,120,3,1,3.0,3.0
145,50,121,8,2,2.5,5.0
146,54,122,8,1,2.5,2.5
147,72,122,8,1,3.25,3.25
148,26,123,3,2,3.0,6.0
149,36,124,3,2,3.75,7.5
150,45,125,5,2,3.0,6.0
151,33,126,8,2,3.5,7.0
152,57,127,5,1,3.1,3.1
153,37,128,3,2,3.0,6.0
154,50,129,3,1,2.5,2.5
155,79,129,3,1,3.75,3.75
156,60,130,3,2,3.75,7.5
157,29,131,5,1,2.5,2.5
158,49,132,3,2,3.0,6.0
159,35,133,3,2,3.1,6.2
160,75,133,3,1,3.5,3.5
161,36,134,8,1,3.75,3.75
162,47,135,8,1,3.0,3.0
163,44,136,3,1,2.5,2.5
164,27,137,8,2,3.5,7.0
165,52,138,3,2,2.5,5.0
166,46,139,5,1,2.5,2.5
167,24,140,8,1,3.0,3.0
168,43,141,5,1,3.0,3.0
169,35,142,8,1,3.1,3.1
170,28,143,3,2,2.0,4.0
171,50,144,8,2,2.5,5.0
172,38,145,5,2,3.75,7.5
173,35,146,8,2,3.1,6.2
174,50,147,8,2,2.5,5.0
175,25,148,5,2,2.2,4.4
176,49,149,3,2,3.0,6.0
177,60,150,3,2,3.75,7.5
178,24,151,3,1,3.0,3.0
179,41,152,5,2,4.25,8.5
180,44,153,3,2,2.5,5.0
181,38,154,8,1,3.75,3.75
182,54,155,3,2,2.5,5.0
183,29,156,3,2,2.5,5.0
184,31,157,5,2,2.2,4.4
185,60,158,8,1,3.75,3.75
186,49,159,8,2,3.0,6.0
187,53,160,3,1,3.0,3.0
188,60,161,8,1,3.75,3.75
189,53,162,3,1,3.0,3.0
190,52,163,3,1,2.5,2.5
191,28,164,3,2,2.0,4.0
192,56,165,3,1,2.55,2.55
193,23,166,3,1,2.5,2.5
194,33,167,3,1,3.5,3.5
195,75,167,3,1,3.5,3.5
196,38,168,3,2,3.75,7.5
197,30,169,8,1,3.0,3.0
198,59,170,3,1,4.5,4.5
199,32,171,3,2,3.0,6.0
200,53,172,8,1,3.0,3.0
201,61,173,5,1,4.75,4.75
202,72,173,5,1,3.25,3.25
203,56,174,5,1,2.55,2.55
204,75,174,5,1,3.5,3.5
205,29,175,8,2,2.5,5.0
206,37,176,8,1,3.0,3.0
207,49,177,3,1,3.0,3.0
208,57,178,5,1,3.1,3.1
209,75,178,5,1,3.5,3.5
210,45,179,8,1,3.0,3.0
211,26,180,8,2,3.0,6.0
212,61,181,3,1,4.75,4.75
213,47,182,3,1,3.0,3.0
214,44,183,3,2,2.5,5.0
215,36,184,8,1,3.75,3.75
216,30,185,5,2,3.0,6.0
217,25,186,5,2,2.2,4.4
218,49,187,8,1,3.0,3.0
219,78,187,8,1,4.5,4.5
220,26,188,8,1,3.0,3.0
221,43,189,3,2,3.0,6.0
222,25,190,8,2,2.2,4.4
223,72,190,8,1,3.25,3.25
224,42,191,8,2,2.5,5.0
225,54,192,8,2,2.5,5.0
226,22,193,3,1,2.0,2.0
227,58,194,3,1,3.5,3.5
228,24,195,5,2,3.0,6.0
229,35,196,3,1,3.1,3.1
230,30,197,5,2,3.0,6.0
231,60,198,5,1,3.75,3.75
232,56,199,8,1,2.55,2.55
233,55,200,3,2,4.0,8.0
234,49,201,8,2,3.0,6.0
235,55,202,8,1,4.0,4.0
236,75,202,8,1,3.5,3.5
237,23,203,3,1,2.5,2.5
238,31,204,8,2,2.2,4.4
239,35,205,3,2,3.1,6.2
240,38,206,3,2,3.75,7.5
241,23,207,5,1,2.5,2.5
242,46,208,3,2,2.5,5.0
243,58,209,3,2,3.5,7.0
244,60,210,5,2,3.75,7.5
245,31,211,5,2,2.2,4.4
246,25,212,5,2,2.2,4.4
247,87,213,5,1,3.0,3.0
248,28,214,3,2,2.0,4.0
249,27,215,8,1,3.5,3.5
250,40,216,8,2,3.75,7.5
251,51,217,5,1,3.0,3.0
252,54,218,3,2,2.5,5.0
253,42,219,3,2,2.5,5.0
254,43,220,3,1,3.0,3.0
255,36,221,5,1,3.75,3.75
256,52,222,5,1,2.5,2.5
257,72,222,5,1,3.25,3.25
258,54,223,3,2,2.5,5.0
259,69,223,3,1,3.25,3.25
260,25,224,5,2,2.2,4.4
261,57,225,3,1,3.1,3.1
262,40,226,8,1,3.75,3.75
263,22,227,8,2,2.0,4.0
264,53,228,5,1,3.0,3.0
265,54,229,8,2,2.5,5.0
266,32,230,8,2,3.0,6.0
267,38,231,3,2,3.75,7.5
268,33,232,8,1,3.5,3.5
269,22,233,8,2,2.0,4.0
270,42,234,5,1,2.5,2.5
271,45,235,8,2,3.0,6.0
272,48,236,8,2,2.5,5.0
273,53,237,8,1,3.0,3.0
274,27,238,5,2,3.5,7.0
